4316799,2/13/2023,Invoice,,0.00,"9,503.46",DB,*ALLSTA,,1038926,2/13/2023
4325500,2/16/2023,Invoice,,0.00,697.65,DB,*HOSSTA,,734593,2/16/2023
4325500,2/16/2023,Invoice,,0.00,"3,541.49",DB,*HOSSTA,,734594,2/16/2023
4325500,2/16/2023,Invoice,,0.00,697.65,DB,*HOSSTA,,734593,2/16/2023
4325500,2/16/2023,Invoice,,0.00,"3,541.49",DB,*HOSSTA,,734594,2/16/2023
4317412,2/18/2023,Invoice,02/11 - 17/23,0.00,"4,429.00",DB,*SPEAGE,,60,2/18/2023
4317412,2/18/2023,Invoice,02/11 - 17/23,0.00,"4,429.00",DB,*SPEAGE,,60,2/18/2023
4318134,2/20/2023,Invoice,02/04 - 02/17,0.00,"3,500.00",DB,*DAVTHO,,BENCHMARK MARGARITAVILLE 001,2/20/2023
4318134,2/20/2023,Invoice,02/04 - 02/17,0.00,"3,500.00",DB,*DAVTHO,,BENCHMARK MARGARITAVILLE 001,2/20/2023
,,,,0.00,"158,771.95",,,,,
